"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-01",,,"42",",,7","27",",,7","34",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-02",,,"45",",,7","27",",,7","33",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-03",,,"37",",,7","33",",,7","36",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-04",,,"41",",,7","36",",,7","39",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-05",,,"50",",,7","25",",,7","25",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-06",,,"31",",,7","24",",,7","26",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-07",,,"32",",,7","21",",,7","22",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-08",,,"22",",,7","16",",,7","17",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-09",,,"24",",,7","6",",,7","7",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-10",,,"21",",,7","6",",,7","10",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-11",,,"42",",,7","10",",,7","39",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-12",,,"49",",,7","37",",,7","48",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-13",,,"60",",,7","47",",,7","48",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-14",,,"48",",,7","25",",,7","25",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-15",,,"31",",,7","24",",,7","27",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-16",,,"36",",,7","18",",,7","19",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-17",,,"42",",,7","19",",,7","35",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-18",,,"38",",,7","35",",,7","38",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-19",,,"41",",,7","32",",,7","32",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-20",,,"46",",,7","32",",,7","35",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-21",,,"43",",,7","35",",,7","40",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-22",,,"51",",,7","38",",,7","41",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-23",,,"48",",,7","41",",,7","41",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-24",,,"41",",,7","33",",,7","34",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-25",,,"39",",,7","34",",,7","36",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-26",,,"46",",,7","36",",,7","39",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-27",,,"53",",,7","38",",,7","38",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-28",,,"43",",,7","33",",,7","33",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-29",,,"37",",,7","30",",,7","31",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-30",,,"41",",,7","27",",,7","27",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-01-31",,,"35",",,7","21",",,7","21",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-01",,,"32",",,7","21",",,7","32",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-02",,,"45",",,7","27",",,7","27",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-03",,,"42",",,7","23",",,7","23",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-04",,,"32",",,7","19",",,7","19",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-05",,,"33",",,7","19",",,7","26",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-06",,,"41",",,7","26",",,7","36",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-07",,,"46",",,7","29",",,7","33",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-08",,,"37",",,7","33",",,7","35",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-09",,,"60",",,7","28",",,7","28",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-10",,,"28",",,7","17",",,7","20",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-11",,,"31",",,7","19",",,7","27",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-12",,,"48",",,7","27",",,7","30",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-13",,,"37",",,7","28",",,7","32",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-14",,,"36",",,7","26",",,7","27",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-15",,,"38",",,7","24",",,7","24",",,7,0700",,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2017-02-16",,,"46",",,7","24",",,7","29",",,7,0700",,,,,,,,,,,,,,,,,,
